Word,DominantModality,VisualStrengthMean,HapticStrengthMean,AuditoryStrengthMean,GustatoryStrengthMean,OlfactoryStrengthMean,ModalityExclusivity,POS,spoken,academic,news,magazine,fiction
spy,Visual,4.666666667,0.833333333,4.666666667,0.0,0.5,0.4375,Verb,0,0,0,0,0
squawk,Auditory,0.0,0.0,2.888888889,0.0,0.0,1.0,Verb,0,0,0,0,0
squeal,Auditory,0.0,0.0,3.428571429,0.0,0.0,1.0,Verb,3,0,1,0,5
stabilize,Haptic,1.222222222,3.111111111,0.222222222,0.222222222,0.222222222,0.577777778,Verb,9,37,9,19,2
stage,Visual,4.6,2.6,1.0,0.0,0.0,0.56097561,Verb,3,12,2,5,3
stalk,Visual,4.0,0.857142857,2.428571429,0.0,0.142857143,0.538461538,Verb,2,5,1,20,2
stare,Visual,4.833333333,0.0,0.0,0.0,0.0,1.0,Verb,0,0,0,0,0
stench,Olfactory,0.166666667,0.166666667,0.166666667,1.0,3.833333333,0.6875,Verb,0,0,0,0,0
stink,Olfactory,0.181818182,0.0,0.0,0.545454545,5.0,0.873015873,Verb,0,0,0,0,0
strike,Haptic,1.5,4.0,0.5,0.0,0.0,0.666666667,Verb,0,0,0,0,0
string,Haptic,1.0,3.285714286,0.571428571,0.0,0.0,0.676470588,Verb,0,25,1,16,8
stroke,Haptic,1.0,4.636363636,0.0,0.0,0.0,0.822580645,Verb,0,0,0,0,0
struggle,Haptic,1.666666667,3.333333333,1.333333333,0.0,0.166666667,0.512820513,Verb,9,89,14,47,20
study,Visual,4.111111111,0.666666667,1.333333333,0.0,0.0,0.672727273,Verb,0,0,0,0,0
suck,Gustatory,0.8,2.8,0.4,3.8,0.8,0.395348837,Verb,0,0,0,0,0
suffer,Haptic,2.0,2.833333333,1.333333333,0.166666667,0.166666667,0.41025641,Verb,0,0,0,0,0
suffice,Visual,1.8,0.6,1.6,0.6,0.4,0.28,Verb,3,49,5,14,8
suggest,Auditory,2.111111111,0.555555556,3.0,0.111111111,0.0,0.519230769,Verb,0,0,0,0,0
survey,Visual,3.6,2.0,1.4,0.4,0.6,0.4,Verb,0,0,0,0,0
sweep,Visual,3.428571429,2.714285714,1.0,0.0,0.142857143,0.470588235,Verb,0,0,0,0,0
swill,Gustatory,0.666666667,1.5,0.166666667,2.666666667,1.166666667,0.405405405,Verb,0,0,0,0,0
swoop,Haptic,1.5,2.333333333,1.166666667,0.166666667,0.333333333,0.393939394,Verb,0,1,2,4,6
tap,Haptic,1.6,4.4,0.6,0.2,0.8,0.552631579,Verb,0,0,0,0,0
taste,Gustatory,0.222222222,0.444444444,0.0,5.0,1.555555556,0.692307692,Verb,9,15,41,79,48
test,Visual,3.166666667,3.166666667,2.5,2.0,1.666666667,0.12,Verb,0,0,0,0,0
thicken,Haptic,2.272727273,3.090909091,0.0,1.0,0.090909091,0.478873239,Verb,0,1,0,11,3
threaten,Visual,3.272727273,1.363636364,2.454545455,0.0,0.090909091,0.455696203,Verb,17,115,7,29,16
thud,Haptic,0.5,2.666666667,2.333333333,0.166666667,0.166666667,0.428571429,Verb,0,0,0,0,0
thumb,Haptic,1.333333333,3.0,0.666666667,0.666666667,0.5,0.405405405,Verb,0,0,0,0,0
thump,Haptic,1.0,3.6,1.7,0.1,0.1,0.538461538,Verb,0,0,0,0,0
toll,Visual,2.25,2.25,2.25,0.0,0.0,0.333333333,Verb,0,0,0,0,0
toot,Auditory,1.0,2.0,2.833333333,0.166666667,0.333333333,0.421052632,Verb,0,0,0,0,0
touch,Haptic,1.6,5.0,0.2,0.2,0.2,0.666666667,Verb,0,0,0,0,0
travel,Visual,3.857142857,1.714285714,1.571428571,1.571428571,1.428571429,0.23943662,Verb,29,199,50,189,115
trigger,Auditory,2.666666667,1.888888889,3.0,1.444444444,2.0,0.141414141,Verb,5,51,7,37,7
trumpet,Auditory,0.888888889,1.222222222,3.111111111,0.444444444,0.0,0.549019608,Verb,0,0,0,0,0
try,Haptic,1.833333333,2.5,1.333333333,1.5,0.666666667,0.234042553,Verb,0,0,0,0,0
tweak,Haptic,1.444444444,3.555555556,1.444444444,0.555555556,0.555555556,0.397058824,Verb,1,2,1,13,1
twist,Haptic,2.333333333,4.666666667,0.166666667,0.0,0.0,0.651162791,Verb,0,12,3,21,27
undergo,Haptic,1.666666667,2.166666667,0.666666667,0.166666667,0.333333333,0.4,Verb,0,0,0,0,0
use,Haptic,2.4,3.4,2.0,0.2,1.0,0.355555556,Verb,0,0,0,0,0
vacate,Haptic,0.333333333,1.333333333,0.166666667,0.0,0.0,0.727272727,Verb,0,2,1,2,3
view,Visual,5.0,0.166666667,1.0,0.0,0.166666667,0.789473684,Verb,22,389,26,140,25
vomit,Gustatory,0.833333333,1.333333333,1.166666667,3.5,2.0,0.301886792,Verb,0,3,1,3,14
watch,Visual,5.0,0.0,1.571428571,0.0,0.0,0.760869565,Verb,0,0,0,0,0
whiff,Olfactory,0.5,0.833333333,0.166666667,1.0,4.333333333,0.609756098,Verb,0,0,0,0,0
whine,Auditory,0.285714286,0.571428571,3.714285714,0.0,0.0,0.8125,Verb,0,0,0,0,0
whisper,Auditory,0.333333333,0.0,4.166666667,0.0,0.0,0.925925926,Verb,0,0,0,0,0
witness,Visual,5.0,0.181818182,1.090909091,0.090909091,0.181818182,0.75,Verb,0,0,0,0,0
work,Visual,3.5,3.333333333,2.0,0.666666667,0.666666667,0.278688525,Verb,559,2047,383,1193,743
zap,Haptic,1.0,2.727272727,1.181818182,0.090909091,0.181818182,0.50877193,Verb,0,0,1,3,2
academy,Visual,2.705882353,0.470588235,1.411764706,0.058823529,0.117647059,0.555555556,Noun,44,337,59,103,21
account,Auditory,1.411764706,0.352941176,1.705882353,0.117647059,0.235294118,0.415384615,Noun,47,718,62,344,79
addition,Visual,3.058823529,0.882352941,1.294117647,0.470588235,0.647058824,0.407407407,Noun,4,111,18,68,6
administration,Visual,2.625,0.5,1.75,0.0625,0.25,0.493975904,Noun,356,1077,209,340,17
advantage,Visual,3.117647059,0.529411765,1.705882353,0.352941176,0.470588235,0.447619048,Noun,58,501,56,279,60
aim,Visual,2.647058824,1.117647059,1.411764706,0.235294118,0.470588235,0.41,Noun,10,239,9,58,23
air,Olfactory,1.352941176,2.117647059,1.058823529,1.470588235,2.529411765,0.172413793,Noun,260,746,186,729,956
amount,Visual,4.058823529,3.117647059,2.0,1.647058824,1.352941176,0.222222222,Noun,125,862,108,347,69
appeal,Visual,3.294117647,1.235294118,2.294117647,1.411764706,1.294117647,0.216049383,Noun,37,205,41,115,22
arrangement,Visual,3.411764706,1.470588235,1.823529412,0.294117647,0.470588235,0.417322835,Noun,8,195,13,70,39
baby,Visual,4.882352941,3.647058824,4.235294118,0.823529412,3.117647059,0.242957746,Noun,166,152,79,473,818
back,Visual,3.941176471,2.941176471,0.647058824,0.294117647,0.529411765,0.436619718,Noun,732,573,335,1125,2464
balance,Visual,2.941176471,1.764705882,1.235294118,0.411764706,0.294117647,0.398230088,Noun,35,433,47,201,85
bank,Visual,4.411764706,1.235294118,1.294117647,0.058823529,0.294117647,0.596774194,Noun,67,377,170,296,207
bear,Visual,4.470588235,2.470588235,3.117647059,0.470588235,1.882352941,0.322274882,Noun,35,61,15,135,237
beauty,Visual,4.941176471,2.352941176,1.941176471,0.941176471,1.764705882,0.334975369,Noun,39,256,43,214,167
beginning,Visual,3.0,1.375,2.0,0.625,0.875,0.301587302,Noun,139,779,66,249,133
blame,Auditory,2.294117647,0.529411765,2.352941176,0.176470588,0.411764706,0.37755102,Noun,19,55,27,37,16
blanket,Haptic,4.0,4.235294118,0.352941176,0.176470588,1.647058824,0.389830508,Noun,5,39,8,30,97
border,Visual,3.6875,1.875,0.375,0.0625,0.25,0.58,Noun,94,373,58,234,45
bore,Visual,2.117647059,0.647058824,1.882352941,0.470588235,0.411764706,0.308510638,Noun,1,8,0,7,11
bother,Visual,2.588235294,1.058823529,1.882352941,0.529411765,0.411764706,0.336363636,Noun,0,1,1,2,9
business,Visual,3.529411765,0.647058824,1.823529412,0.294117647,0.470588235,0.47826087,Noun,511,1406,497,1119,479
call,Auditory,2.176470588,1.0,4.470588235,0.058823529,0.176470588,0.559701493,Noun,178,356,194,410,251
capacity,Visual,3.941176471,2.8125,1.4375,0.5,0.5,0.3744,Noun,24,628,42,163,20
career,Visual,3.117647059,0.882352941,2.117647059,0.411764706,0.411764706,0.389830508,Noun,96,863,227,283,106
cast,Visual,3.588235294,1.294117647,1.588235294,0.176470588,0.588235294,0.471544715,Noun,21,37,42,64,33
center,Visual,4.0,2.294117647,0.705882353,0.470588235,0.352941176,0.466165414,Noun,236,1350,484,940,331
chain,Visual,4.3125,3.8125,2.125,0.1875,0.466666667,0.378295759,Noun,31,148,32,124,123
chair,Visual,4.647058824,4.235294118,0.705882353,0.058823529,0.411764706,0.456140351,Noun,39,224,28,183,518
city,Visual,4.705882353,1.529411765,4.0,1.058823529,2.588235294,0.262711864,Noun,387,1363,1030,1140,658
closer,Visual,3.705882353,2.823529412,2.294117647,0.647058824,1.529411765,0.278074866,Noun,0,0,0,0,0
collection,Visual,3.705882353,2.352941176,1.352941176,0.294117647,0.529411765,0.414285714,Noun,21,670,69,309,96
competition,Visual,3.529411765,0.882352941,2.588235294,0.470588235,0.823529412,0.368794326,Noun,58,746,95,199,30
concept,Visual,2.764705882,1.117647059,2.352941176,1.0,0.882352941,0.231884058,Noun,42,1033,40,159,50
consequence,Visual,3.588235294,1.470588235,2.705882353,0.882352941,0.705882353,0.308176101,Noun,12,254,7,43,18
contact,Haptic,3.411764706,3.529411765,2.529411765,1.058823529,1.117647059,0.212121212,Noun,39,626,47,238,101
cope,Visual,2.058823529,0.823529412,1.117647059,0.176470588,0.352941176,0.415584416,Noun,2,7,0,7,1
core,Visual,2.764705882,1.823529412,0.823529412,0.705882353,0.470588235,0.348214286,Noun,40,716,38,164,64
cost,Visual,3.235294118,0.882352941,1.588235294,0.411764706,0.352941176,0.445454545,Noun,114,778,130,504,31
cup,Visual,4.235294118,3.941176471,1.176470588,1.235294118,1.058823529,0.272727273,Noun,16,78,199,697,249
cut,Visual,3.705882353,3.529411765,1.176470588,0.352941176,0.529411765,0.360759494,Noun,177,71,48,218,395
dance,Visual,4.647058824,2.176470588,2.176470588,0.0,0.235294118,0.503184713,Noun,6,339,58,101,158
deal,Visual,2.411764706,1.0,2.0,0.294117647,0.411764706,0.346153846,Noun,248,330,148,296,204
deck,Visual,3.411764706,2.0,1.0,0.117647059,0.411764706,0.474576271,Noun,21,22,13,92,149
democracy,Visual,2.823529412,0.176470588,2.294117647,0.0,0.058823529,0.527472527,Noun,83,909,40,93,18
department,Visual,3.588235294,0.470588235,1.588235294,0.176470588,0.882352941,0.50877193,Noun,252,1355,330,429,120
development,Visual,3.764705882,1.647058824,2.117647059,1.294117647,1.117647059,0.266272189,Noun,63,4421,209,558,39
direction,Visual,4.058823529,1.411764706,2.294117647,0.294117647,0.764705882,0.426666667,Noun,76,609,61,198,252
dispute,Visual,3.588235294,0.823529412,3.235294118,0.117647059,0.176470588,0.437037037,Noun,27,131,37,29,6
distinction,Visual,2.941176471,1.941176471,2.176470588,1.470588235,1.529411765,0.14619883,Noun,20,371,13,54,12
dive,Visual,3.882352941,1.764705882,2.0,0.176470588,0.411764706,0.45,Noun,9,16,2,19,19
doctor,Visual,4.470588235,1.647058824,3.0,0.705882353,1.294117647,0.338624339,Noun,186,129,59,343,433
drama,Visual,3.941176471,0.941176471,3.235294118,0.235294118,0.411764706,0.422818792,Noun,27,135,63,108,31
dream,Visual,3.176470588,0.823529412,2.176470588,0.529411765,0.764705882,0.354330709,Noun,75,211,61,172,343
duty,Visual,2.411764706,0.470588235,1.588235294,0.176470588,0.352941176,0.447058824,Noun,29,181,27,67,98
economy,Visual,2.117647059,0.470588235,1.882352941,0.058823529,0.125,0.442338073,Noun,313,1048,187,499,22
edge,Visual,3.941176471,3.588235294,0.529411765,0.176470588,0.117647059,0.457746479,Noun,37,226,55,308,436
education,Visual,3.941176471,1.058823529,3.705882353,0.529411765,0.588235294,0.347305389,Noun,189,8937,269,534,56
emotion,Visual,3.647058824,2.411764706,2.882352941,0.941176471,0.764705882,0.270718232,Noun,14,101,9,46,60
enthusiasm,Visual,3.705882353,1.294117647,3.294117647,0.529411765,0.529411765,0.339622642,Noun,13,143,21,61,41
entrance,Visual,4.352941176,1.882352941,1.0,0.176470588,0.647058824,0.518248175,Noun,6,116,31,75,126
equipment,Visual,4.235294118,3.352941176,1.529411765,0.411764706,0.882352941,0.367231638,Noun,39,420,71,261,78
estimate,Visual,2.705882353,1.588235294,1.588235294,0.823529412,0.705882353,0.26984127,Noun,12,162,17,37,7
exchange,Visual,3.176470588,1.764705882,1.882352941,0.529411765,0.647058824,0.330882353,Noun,46,499,63,172,82
excitement,Visual,3.941176471,2.176470588,3.529411765,1.176470588,1.294117647,0.22815534,Noun,17,131,20,61,83
expansion,Visual,3.941176471,2.8125,1.705882353,0.470588235,0.411764706,0.377804014,Noun,29,347,32,138,17
extreme,Visual,3.411764706,1.941176471,2.235294118,1.588235294,1.823529412,0.165775401,Noun,9,60,1,33,8
eye,Visual,4.764705882,2.235294118,0.058823529,0.0,0.0,0.675,Noun,80,248,60,329,548
fact,Auditory,3.352941176,1.176470588,3.352941176,0.647058824,1.058823529,0.282208589,Noun,956,2311,238,926,573
factory,Visual,4.588235294,1.470588235,3.176470588,0.588235294,3.058823529,0.310502283,Noun,8,118,46,114,62
failure,Visual,3.470588235,1.294117647,2.411764706,0.941176471,0.705882353,0.313333333,Noun,65,751,65,163,62
faint,Visual,3.0,2.058823529,1.058823529,0.411764706,0.294117647,0.396551724,Noun,0,1,1,9,15
fear,Visual,3.470588235,1.882352941,2.176470588,0.705882353,0.823529412,0.305194805,Noun,86,465,67,218,290
feel,Haptic,1.941176471,4.764705882,1.235294118,1.125,0.764705882,0.406881077,Noun,16,35,22,94,94
file,Visual,4.058823529,2.411764706,0.764705882,0.117647059,0.235294118,0.519379845,Noun,37,174,19,322,74
finance,Visual,2.941176471,1.176470588,1.176470588,0.235294118,0.176470588,0.484536082,Noun,76,125,32,45,9
find,Visual,3.941176471,3.117647059,1.764705882,0.647058824,1.647058824,0.296296296,Noun,3,11,4,21,6
finish,Visual,3.352941176,1.0,2.235294118,0.705882353,0.705882353,0.330882353,Noun,24,27,59,84,25
food,Gustatory,4.294117647,3.411764706,1.470588235,4.882352941,4.529411765,0.183544304,Noun,199,1001,229,1076,420
form,Visual,3.235294118,2.0,0.882352941,0.411764706,0.470588235,0.403361345,Noun,89,1890,88,531,195
formation,Visual,3.764705882,1.588235294,0.882352941,0.470588235,0.352941176,0.483333333,Noun,3,317,4,76,17
friend,Visual,4.764705882,3.058823529,4.117647059,0.352941176,2.058823529,0.307377049,Noun,210,351,81,486,676
function,Visual,3.117647059,1.529411765,2.0,0.705882353,0.705882353,0.299270073,Noun,13,1040,13,166,33
gesture,Visual,4.529411765,1.941176471,0.823529412,0.058823529,0.117647059,0.598425197,Noun,5,103,6,38,118
glass,Visual,4.470588235,3.823529412,2.058823529,0.352941176,0.235294118,0.387096774,Noun,18,133,53,342,557
grade,Visual,2.764705882,0.411764706,1.058823529,0.058823529,0.117647059,0.613333333,Noun,22,1099,57,92,102
grass,Visual,4.705882353,3.705882353,0.647058824,0.352941176,3.058823529,0.349056604,Noun,7,113,21,185,247
guilt,Visual,2.235294118,1.0,1.294117647,0.294117647,0.352941176,0.375,Noun,23,241,11,34,71
hat,Visual,4.588235294,3.294117647,0.352941176,0.0,0.647058824,0.516556291,Noun,33,50,29,81,228
health,Visual,3.647058824,2.3125,1.588235294,0.647058824,1.1875,0.319749216,Noun,322,2945,388,961,117
heaven,Auditory,1.529411765,0.882352941,1.764705882,0.588235294,0.823529412,0.210526316,Noun,41,85,23,81,124
hide,Visual,3.294117647,1.294117647,1.058823529,0.176470588,0.411764706,0.5,Noun,1,8,0,11,27
hole,Visual,4.235294118,2.588235294,0.411764706,0.058823529,0.470588235,0.537878788,Noun,38,84,45,167,208
honey,Gustatory,4.117647059,2.823529412,0.647058824,4.764705882,3.764705882,0.255474453,Noun,25,24,21,75,173
hour,Visual,2.764705882,0.235294118,1.411764706,0.058823529,0.117647059,0.58974359,Noun,263,184,107,349,413
impression,Visual,3.705882353,1.0,2.588235294,0.941176471,1.294117647,0.290123457,Noun,29,287,19,67,93
inch,Visual,4.0,2.294117647,0.176470588,0.058823529,0.058823529,0.598214286,Noun,12,43,12,126,55
incident,Visual,4.176470588,1.411764706,3.117647059,0.470588235,1.352941176,0.351955307,Noun,63,177,35,52,40
income,Visual,3.0,0.882352941,1.117647059,0.470588235,0.117647059,0.515789474,Noun,101,573,156,256,22
increase,Visual,3.764705882,2.235294118,2.294117647,1.117647059,1.294117647,0.247252747,Noun,53,824,95,184,4
independence,Visual,3.294117647,0.941176471,2.117647059,0.294117647,0.294117647,0.43220339,Noun,51,510,24,97,30
influence,Visual,2.588235294,0.882352941,1.941176471,0.352941176,0.352941176,0.365384615,Noun,69,1222,52,172,45
instance,Visual,1.647058824,0.529411765,0.882352941,0.176470588,0.529411765,0.390625,Noun,25,147,7,33,12
interior,Visual,4.588235294,3.0,0.705882353,0.235294118,1.352941176,0.44047619,Noun,29,172,26,197,58
junior,Visual,2.941176471,1.176470588,2.058823529,0.235294118,0.764705882,0.37704918,Noun,6,37,22,24,19
kind,Visual,2.8125,1.9375,2.5,0.25,0.375,0.325396825,Noun,978,1034,209,718,920
left,Visual,3.411764706,1.764705882,1.235294118,0.176470588,0.176470588,0.47826087,Noun,69,248,50,362,168
life,Visual,4.352941176,3.411764706,3.823529412,2.941176471,3.235294118,0.079470199,Noun,814,3825,450,2195,1858
load,Visual,2.941176471,2.0,0.823529412,0.470588235,0.588235294,0.362068966,Noun,9,99,11,66,50
look,Visual,4.764705882,0.941176471,0.529411765,0.176470588,0.352941176,0.67826087,Noun,623,240,133,476,786
loop,Visual,3.705882353,2.764705882,1.058823529,0.235294118,0.235294118,0.433823529,Noun,10,47,23,48,42
machine,Visual,4.235294118,2.882352941,3.764705882,0.235294118,1.529411765,0.31627907,Noun,45,179,29,281,243
management,Visual,3.529411765,0.352941176,2.823529412,0.117647059,0.352941176,0.475409836,Noun,36,1453,127,347,13
march,Visual,3.058823529,0.529411765,2.352941176,0.235294118,0.529411765,0.421052632,Noun,10,72,18,49,31
master,Visual,3.4375,0.705882353,2.764705882,0.294117647,0.411764706,0.412844037,Noun,24,341,60,175,158
mate,Visual,4.470588235,2.823529412,3.058823529,0.411764706,1.529411765,0.330143541,Noun,20,44,8,70,37
matter,Visual,2.625,2.125,1.5,1.133333333,1.4375,0.169107227,Noun,226,872,95,446,373
method,Visual,3.058823529,0.823529412,2.176470588,0.235294118,0.294117647,0.428571429,Noun,9,1115,35,155,32
minute,Visual,2.764705882,0.235294118,1.764705882,0.058823529,0.176470588,0.541176471,Noun,194,132,32,168,406
miss,Visual,2.882352941,1.647058824,1.823529412,0.411764706,0.529411765,0.338709677,Noun,62,81,52,76,272
missile,Visual,4.0,1.235294118,3.588235294,0.058823529,0.764705882,0.408536585,Noun,66,112,11,59,11
money,Visual,4.823529412,3.705882353,1.470588235,0.352941176,1.176470588,0.387755102,Noun,966,810,553,1170,840
mouth,Visual,3.529411765,3.117647059,2.235294118,3.294117647,1.235294118,0.171052632,Noun,50,128,31,172,891
muscle,Haptic,4.0,4.058823529,0.588235294,0.352941176,0.352941176,0.396226415,Noun,12,143,23,146,64
night,Visual,4.764705882,0.470588235,1.647058824,0.117647059,0.470588235,0.622047244,Noun,693,424,341,809,2358
orderly,Visual,3.066666667,1.0,1.466666667,0.133333333,0.142857143,0.504918033,Noun,1,8,1,3,19
past,Auditory,2.176470588,0.588235294,2.294117647,0.647058824,0.823529412,0.261261261,Noun,287,1654,200,530,336
permission,Auditory,2.117647059,0.647058824,2.764705882,0.235294118,0.294117647,0.417475728,Noun,21,140,24,61,55
personnel,Visual,2.941176471,0.882352941,1.705882353,0.117647059,0.411764706,0.466019417,Noun,18,446,50,60,34
phone,Auditory,4.235294118,3.0,4.352941176,0.0,0.058823529,0.373737374,Noun,235,135,120,489,749
picture,Visual,4.764705882,1.529411765,0.235294118,0.117647059,0.235294118,0.675213675,Noun,158,548,94,311,289
plug,Visual,4.411764706,3.235294118,0.823529412,0.117647059,0.235294118,0.486666667,Noun,4,2,5,35,20
portion,Visual,4.0,2.411764706,0.647058824,1.764705882,1.411764706,0.327586207,Noun,14,282,36,90,34
pound,Visual,4.352941176,3.647058824,1.235294118,0.411764706,0.411764706,0.391812865,Noun,13,97,27,112,22
powder,Visual,4.0625,3.75,0.8125,2.375,2.75,0.236363636,Noun,8,19,29,119,35
preparation,Visual,3.0625,1.625,1.8125,0.9375,1.625,0.234482759,Noun,12,572,21,67,15
primary,Visual,2.352941176,0.470588235,1.176470588,0.411764706,0.529411765,0.392857143,Noun,105,1105,53,175,32
prize,Visual,4.0,2.647058824,1.647058824,0.764705882,0.764705882,0.329341317,Noun,34,66,41,102,56
